trial,run,stimCat,stimN,oldNew,resp,rt,accEncoded,postChoiceDur,isiDur,conf,confRT,confPresses,rt2,acc,wasRDD,nRDD,rddVal,rddRew,rddAcc,totExp,acc2,Subject
1,1,3,29,3,2,2516,0,0.746927473,0.314225036,4,2.7218669,1,2.5158444,1,1,1,30,0,0,1,1,EMUYFK
2,1,3,26,3,2,2539,0,0.510953467,0.376221294,5,2.1578405,2,2.5389184,1,1,1,20,0,0,1,1,EMUYFK
3,1,1,14,1,2,3107,1,0.494468439,0.35692358,4,2.2173433,1,3.1067082,1,1,1,25,25,1,4,1,EMUYFK
4,1,3,37,3,2,1961,0,0.634387233,0.611803715,5,1.2047084,2,1.9612122,1,1,0,30,10,1,1,1,EMUYFK
5,1,1,42,0,1,1083,1,0.708457009,0.60713908,4,2.8628721,1,1.0825427,1,0,NaN,NaN,NaN,NaN,NaN,1,EMUYFK
6,1,3,4,1,2,3108,1,0.538548327,0.744407552,4,2.5009306,1,3.1080612,1,1,1,30,30,1,2,1,EMUYFK
7,1,1,55,0,1,1362,1,0.287169587,0.291159589,4,1.7772728,1,1.3618368,1,0,NaN,NaN,NaN,NaN,NaN,1,EMUYFK
8,1,3,36,3,1,1969,1,0.541096545,0.379646367,4,3.5071722,1,1.9688715,0,1,0,20,10,1,1,0,EMUYFK
9,1,1,33,3,1,1393,1,0.39084807,0.396964585,3,3.3693135,2,1.3931356,0,1,1,20,0,0,1,0,EMUYFK
10,1,2,55,0,1,3825,1,0.703358848,0.588567579,5,1.4162923,2,3.8250449,1,0,NaN,NaN,NaN,NaN,NaN,1,EMUYFK
11,1,2,42,0,1,3384,1,0.276712834,0.67721217,5,1.9475916,2,3.3836363,1,0,NaN,NaN,NaN,NaN,NaN,1,EMUYFK
12,1,1,40,0,1,1768,1,0.550912449,0.522728607,4,0.8335238,1,1.7677877,1,0,NaN,NaN,NaN,NaN,NaN,1,EMUYFK
13,1,1,36,3,2,5663,0,0.707646636,0.493795104,2,1.1449584,1,5.6625984,1,1,0,25,10,1,1,1,EMUYFK
14,1,2,12,1,2,2979,1,0.334194343,0.482883496,3,1.7223336,0,2.9789505,1,1,1,30,30,1,4,1,EMUYFK
15,1,1,39,0,1,1142,1,0.36200721,0.727426366,5,1.5184848,2,1.141724,1,0,NaN,NaN,NaN,NaN,NaN,1,EMUYFK
16,1,1,37,3,1,3143,1,0.529244362,0.667067735,3,1.0234667,0,3.1430503,0,1,0,30,10,1,1,0,EMUYFK
