block,trial,wasRisky,rt,outcome,numExp,wasOld,riskyVal,riskyEV,Subject
21,1,0,2.239669323,1,0,0,30,0,MCW016
21,2,0,2.152750254,1,0,0,30,0,MCW016
21,3,0,2.209895849,0,0,0,30,0,MCW016
21,4,0,1.478070498,1,0,0,20,0,MCW016
21,5,1,2.237655878,1,2,1,30,60,MCW016
21,6,1,3.253730059,1,1,1,20,20,MCW016
21,7,0,2.661076069,1,0,0,30,0,MCW016
21,8,1,1.997949123,1,3,1,25,75,MCW016
21,9,1,2.149672031,1,1,1,30,30,MCW016
21,10,0,2.206694365,1,2,1,30,60,MCW016
21,11,0,2.37601757,1,0,0,30,0,MCW016
21,12,1,1.619454622,1,2,1,30,60,MCW016
21,13,0,2.769366741,1,0,0,20,0,MCW016
21,14,1,2.577673674,1,1,1,30,30,MCW016
21,15,0,2.211389303,1,0,0,20,0,MCW016
21,16,0,1.796978235,1,0,0,25,0,MCW016
21,17,0,2.276816368,1,0,0,20,0,MCW016
21,18,0,2.565391302,1,0,0,25,0,MCW016
21,19,1,2.722155094,1,1,1,30,30,MCW016
21,20,1,3.315223455,0,0,0,25,0,MCW016
21,21,0,2.293392658,1,0,0,20,0,MCW016
21,22,1,2.962973595,1,3,1,20,60,MCW016
21,23,0,1.952618361,1,3,1,20,60,MCW016
21,24,0,2.204363108,1,0,0,30,0,MCW016
21,25,1,2.715700626,1,3,1,30,90,MCW016
21,26,1,2.246436596,1,3,1,30,90,MCW016
21,27,0,2.304539919,1,0,0,20,0,MCW016
21,28,0,2.499602079,1,2,1,25,50,MCW016
21,29,1,2.788109303,1,2,1,20,40,MCW016
21,30,0,2.711083174,1,0,0,20,0,MCW016
21,31,1,2.109028578,1,1,1,20,20,MCW016
21,32,0,3.445510626,1,0,0,25,0,MCW016
21,33,1,2.96731925,0,0,0,20,0,MCW016
21,34,0,1.873146772,1,0,0,25,0,MCW016
21,35,0,2.952387333,1,0,0,25,0,MCW016
21,36,1,2.229382753,0,0,0,20,0,MCW016
21,37,1,2.197822571,1,1,1,20,20,MCW016
21,38,0,3.077663898,1,3,1,30,90,MCW016
21,39,0,2.308931828,1,0,0,20,0,MCW016
21,40,0,2.686645269,1,2,1,30,60,MCW016
21,41,1,3.114378691,1,1,1,25,25,MCW016
21,42,0,2.217856169,1,2,1,20,40,MCW016
21,43,1,2.054032564,1,3,1,30,90,MCW016
21,44,1,2.070466042,1,2,1,20,40,MCW016
21,45,0,2.837142229,1,3,1,20,60,MCW016
22,1,0,2.191272259,1,0,0,25,0,MCW016
22,2,0,1.920502424,1,0,0,20,0,MCW016
22,3,0,2.456665039,1,0,0,25,0,MCW016
22,4,0,2.602537394,1,1,1,20,20,MCW016
22,5,1,3.197015524,1,1,1,25,25,MCW016
