blockNum,runNum,trial,pdType,commTime,brTime,totTrialNum,wasRisky,blockN,runN,trialN,displayCond,rewCond,leftVal,leftProb,leftEV,rightVal,rightProb,rightEV,evDiff,resp,rt,totPoints,ITI,delayDur,startAngle,angleCount,numSteps,outcome,spinDelay,spinFlip,safeCol,riskyVal,riskyProb,riskyEV,conf,Subject
54,1,1,1,49.621623,316552472,1,0,54,1,1,1,5,12,90,10.8,10,100,10,0.8,1,1.8228154,10,0.924208716,0.825211642,4.412489099,8.612489099,43,1,0.0338268,1,1,12,90,10.8,40,EMUYEZ
54,1,2,1,54.278912,317984569,2,1,54,1,2,1,5,10,100,10,20,20,4,6,1,1.5493796,10,0.804685513,0.780928761,3.097908903,7.097908903,41,0,0.030761,1,2,20,20,4,30,EMUYEZ
54,1,3,1,58.497009,318123412,3,1,54,1,3,1,5,15,60,9,10,100,10,-1,2,1.4118083,25,0.94413927,0.835656555,1.233100653,5.433100653,44,1,0.0323957,1,1,15,60,9,10,EMUYEZ
54,1,4,1,62.771535,318228948,4,1,54,1,4,1,5,25,40,10,10,100,10,0,2,1.2726286,50,0.891265324,1.169496022,-0.490445305,5.509554695,64,1,0.0339881,1,1,25,40,10,10,EMUYEZ
54,1,5,1,67.191971,318283831,5,1,54,1,5,1,5,10,100,10,20,70,14,-4,1,1.7004928,70,0.612138982,0.946481136,1.202568434,6.002568434,51,1,0.0330372,1,2,20,70,14,20,EMUYEZ
54,1,6,1,71.544866,318377647,6,1,54,1,6,1,5,10,100,10,25,20,5,5,1,1.6280994,70,0.655460989,1.078822168,2.996157138,8.396157138,58,0,0.0356484,1,2,25,20,5,30,EMUYEZ
54,1,7,1,75.982169,318475433,7,1,54,1,7,1,5,10,100,10,25,60,15,-5,1,1.373993,70,0.823290837,0.928322151,4.824347418,9.624347418,49,0,0.0325901,1,2,25,60,15,10,EMUYEZ
54,1,8,1,80.186571,318542220,8,1,54,1,8,1,5,10,100,10,12,80,9.6,0.4,1,1.1619327,70,0.800899836,0.641144513,6.897054284,10.29705428,32,0,0.033165,1,2,12,80,9.6,30,EMUYEZ
54,1,9,1,83.874177,318650407,9,0,54,1,9,1,5,25,90,22.5,10,100,10,12.5,1,1.4899861,80,0.636556524,0.776199145,5.514292848,9.514292848,40,1,0.0329205,1,1,25,90,22.5,40,EMUYEZ
54,1,10,1,87.861537,318749285,10,1,54,1,10,1,5,10,100,10,25,70,17.5,-7.5,1,2.0627984,105,0.599699747,0.637614009,2.58663554,5.78663554,32,1,0.0338388,1,2,25,70,17.5,20,EMUYEZ
54,1,11,1,92.249357,318812907,11,1,54,1,11,1,5,30,30,9,10,100,10,-1,2,1.8986378,135,0.562040646,1.105999752,-0.019670387,5.580329613,60,1,0.0351547,1,1,30,30,9,20,EMUYEZ
54,1,12,1,96.888232,318903628,12,1,54,1,12,1,5,10,100,10,30,50,15,-5,1,1.579843,135,0.813012299,0.856324016,4.462438211,8.862438211,45,0,0.0341557,1,2,30,50,15,0,EMUYEZ
54,1,13,1,102.276929,318994884,13,1,54,1,13,1,5,30,50,15,10,100,10,5,2,1.3915985,165,0.652067297,0.793495334,2.902914485,6.902914485,41,1,0.0351976,1,1,30,50,15,0,EMUYEZ
54,1,14,1,106.1976,319070287,14,1,54,1,14,1,5,15,90,13.5,10,100,10,3.5,2,1.5422562,180,0.874353703,0.762817795,3.725582857,7.725582857,39,1,0.0321155,1,1,15,90,13.5,40,EMUYEZ
54,1,15,1,110.452401,319169400,15,1,54,1,15,1,5,30,70,21,10,100,10,11,2,1.1435865,180,0.8359296,0.545091239,7.719387855,10.51938785,26,0,0.0321045,1,1,30,70,21,20,EMUYEZ
54,1,16,1,114.056092,319252094,16,1,54,1,16,1,5,10,100,10,20,50,10,0,1,1.5958963,200,0.667016092,0.679350079,1.859199852,5.259199852,35,1,0.033117,1,2,20,50,10,0,EMUYEZ
54,1,17,1,118.094399,319321554,17,1,54,1,17,1,5,20,40,8,10,100,10,-2,2,1.1419781,220,0.585436446,0.692634615,2.631222092,6.231222092,35,1,0.0328422,1,1,20,40,8,10,EMUYEZ
54,1,18,1,121.596945,319442683,18,0,54,1,18,1,5,10,100,10,12,40,4.8,5.2,2,2.4714167,230,0.668247205,0.660208044,6.073968313,9.473968313,33,1,0.0335982,1,2,12,40,4.8,10,EMUYEZ
54,1,19,1,126.485683,319508452,19,1,54,1,19,1,5,20,30,6,10,100,10,-4,2,1.3110792,230,0.860775566,1.119184971,1.652130043,7.252130043,61,0,0.0337622,1,1,20,30,6,20,EMUYEZ
54,1,20,1,130.85562,319576090,20,1,54,1,20,1,5,25,50,12.5,10,100,10,2.5,2,2.2848001,230,0.516577542,0.96149886,4.59691501,9.59691501,51,0,0.0348534,1,1,25,50,12.5,0,EMUYEZ
54,1,21,1,135.712328,319664452,21,0,54,1,21,1,5,10,100,10,12,30,3.6,6.4,2,1.5635659,240,0.950755073,1.073423042,1.161821524,6.561821524,58,1,0.037713,1,2,12,30,3.6,20,EMUYEZ
54,1,22,1,140.382093,319740002,22,1,54,1,22,1,5,10,100,10,15,80,12,-2,1,3.5901714,255,0.852837792,0.907908979,2.601893932,7.201893932,47,1,0.0380539,1,2,15,80,12,30,EMUYEZ
54,1,23,1,146.821296,319810048,23,1,54,1,23,1,5,25,50,12.5,10,100,10,2.5,2,1.6396009,255,0.662572957,0.641008147,6.568565005,9.968565005,31,0,0.0336103,1,1,25,50,12.5,0,EMUYEZ
54,1,24,1,150.84505,319901976,24,0,54,1,24,1,5,10,100,10,15,50,7.5,2.5,2,0.7029007,265,0.54031893,0.74974986,5.286511683,9.086511683,38,1,0.0326089,1,2,15,50,7.5,0,EMUYEZ
54,1,25,1,153.931125,319949613,25,0,54,1,25,1,5,10,100,10,25,30,7.5,2.5,2,2.8415602,275,0.914055568,0.9486764,0.386528603,5.186528603,50,1,0.0284016,1,2,25,30,7.5,20,EMUYEZ
54,1,26,1,159.702876,320045336,26,1,54,1,26,1,5,12,20,2.4,10,100,10,-7.6,2,1.2049974,287,0.954370706,0.661177902,2.251185043,5.651185043,33,1,0.0372954,1,1,12,20,2.4,30,EMUYEZ
54,1,27,1,163.605189,320131162,27,1,54,1,27,1,5,25,60,15,10,100,10,5,2,1.7266897,287,0.962877097,0.71551424,6.744291591,10.34429159,36,0,0.0325458,1,1,25,60,15,10,EMUYEZ
54,1,28,1,168.096352,320183310,28,1,54,1,28,1,5,20,50,10,10,100,10,0,2,1.2281927,287,0.835033845,0.651228406,7.170679698,10.5706797,33,0,0.0333022,1,1,20,50,10,0,EMUYEZ
54,1,29,1,171.897085,320297077,29,1,54,1,29,1,5,30,60,18,10,100,10,8,2,1.7877975,287,0.710150462,1.183270241,3.121241492,9.121241492,65,0,0.0273272,1,1,30,60,18,10,EMUYEZ
54,1,30,1,176.652521,320387976,30,1,54,1,30,1,5,15,30,4.5,10,100,10,-5.5,2,2.6477185,287,0.842466159,0.572510889,5.158328703,8.158328703,28,0,0.0375982,1,1,15,30,4.5,20,EMUYEZ
54,1,31,1,181.811837,320453137,31,1,54,1,31,1,5,10,100,10,12,70,8.4,1.6,1,1.7039686,299,0.946741706,0.8297177,2.298668262,6.498668262,43,1,0.0304285,1,2,12,70,8.4,20,EMUYEZ
54,1,32,1,186.363404,320578409,32,1,54,1,32,1,5,10,100,10,20,90,18,-8,1,2.2733742,319,0.514142964,0.565523937,7.254244225,10.25424423,27,1,0.030584,1,2,20,90,18,40,EMUYEZ
54,1,33,1,190.78406,320672335,33,1,54,1,33,1,5,10,100,10,30,40,12,-2,1,2.2763862,349,0.873649688,1.010655813,1.180027203,6.380027203,54,1,0.0300166,1,2,30,40,12,10,EMUYEZ
54,1,34,1,196.022908,320736119,34,1,54,1,34,1,5,25,50,12.5,10,100,10,2.5,2,1.6049417,374,0.673882046,0.851229003,0.718541683,5.118541683,44,1,0.0299388,1,1,25,50,12.5,0,EMUYEZ
54,1,35,1,200.227233,320901864,35,1,54,1,35,1,5,25,80,20,10,100,10,10,2,1.432634,374,0.807179101,0.918158726,5.913489906,10.51348991,49,0,0.0371384,1,1,25,80,20,30,EMUYEZ
54,1,36,1,204.465762,321007899,36,0,54,1,36,1,5,10,100,10,12,50,6,4,2,3.9305744,384,0.587816736,0.601480973,6.589774718,9.789774718,30,1,0.0390795,1,2,12,50,6,0,EMUYEZ
54,1,37,1,210.671533,321057992,37,1,54,1,37,1,5,25,40,10,10,100,10,0,2,1.7168141,384,0.904838575,0.507320719,7.448487783,10.04848778,24,0,0.0300739,1,1,25,40,10,10,EMUYEZ
54,1,38,1,214.876499,321100806,38,1,54,1,38,1,5,15,70,10.5,10,100,10,0.5,2,2.24733,399,0.704972487,1.049966245,1.160423663,6.560423663,57,1,0.0296131,1,1,15,70,10.5,20,EMUYEZ
54,1,39,1,219.964565,321171987,39,1,54,1,39,1,5,10,100,10,30,90,27,-17,1,1.3357288,429,0.968765603,0.530682772,3.389067109,6.189067109,26,1,0.0331243,1,2,30,90,27,40,EMUYEZ
54,1,40,1,223.885678,321316620,40,1,54,1,40,1,5,30,20,6,10,100,10,-4,,,429,0.528202206,0.860643362,,,,,,,1,30,20,6,30,EMUYEZ
54,1,41,1,229.858337,321345136,41,0,54,1,41,1,5,10,100,10,20,60,12,-2,2,0.8817797,439,0.867298547,0.685390089,5.336161967,8.936161967,35,1,0.0317257,1,2,20,60,12,10,EMUYEZ
54,1,42,1,233.37909,321432340,42,0,54,1,42,1,5,10,100,10,15,20,3,7,2,1.4976329,449,0.77270442,0.541380838,4.547434781,7.347434781,26,1,0.0346993,1,2,15,20,3,30,EMUYEZ
54,1,43,1,237.266497,321514017,43,0,54,1,43,1,5,10,100,10,15,40,6,4,2,1.7056666,459,0.626627068,0.641010696,5.236702332,8.636702332,32,1,0.0328632,1,2,15,40,6,10,EMUYEZ
54,1,44,1,241.320734,321566927,44,1,54,1,44,1,5,30,40,12,10,100,10,2,2,1.1160231,459,0.626576419,1.15871288,2.328044716,8.128044716,63,0,0.0340622,1,1,30,40,12,10,EMUYEZ
54,1,45,1,245.291493,321654660,45,1,54,1,45,1,5,10,100,10,15,60,9,1,1,1.4252537,474,0.615820208,1.131318752,-0.424188762,5.375811238,61,1,0.0327557,1,2,15,60,9,10,EMUYEZ
54,1,46,1,249.546849,321764597,46,0,54,1,46,1,5,12,60,7.2,10,100,10,-2.8,1,1.0178472,484,0.669256553,1.186497345,3.701732447,9.701732447,65,1,0.0330485,1,1,12,60,7.2,10,EMUYEZ
54,1,47,1,253.499632,321831499,47,1,54,1,47,1,5,10,100,10,20,80,16,-6,1,1.7128263,504,0.541329843,0.891936906,1.376772603,5.976772603,47,1,0.0331366,1,2,20,80,16,30,EMUYEZ
54,1,48,1,257.724186,321951402,48,1,54,1,48,1,5,20,50,10,10,100,10,0,2,1.2799164,524,0.587692772,0.911426384,2.6613205,7.2613205,49,1,0.031592,1,1,20,50,10,0,EMUYEZ
54,1,49,1,261.591775,322059564,49,1,54,1,49,1,5,10,100,10,30,80,24,-14,1,1.4840209,554,0.530502293,0.680472938,4.152417676,7.752417676,35,1,0.032775,1,2,30,80,24,30,EMUYEZ
54,1,50,1,265.382,322115835,50,1,54,1,50,1,5,10,100,10,20,50,10,0,1,2.0385969,574,0.976844376,0.922209514,2.919130243,7.719130243,48,1,0.0331251,1,2,20,50,10,0,EMUYEZ
55,2,1,1,42.623098,326689155,1,0,55,2,1,1,5,10,100,10,12,60,7.2,2.8,2,1.6374624,10,0.608340315,0.740984507,4.889216868,8.689216868,38,1,0.0332934,1,2,12,60,7.2,10,EMUYEZ
55,2,2,1,46.695339,327910528,2,0,55,2,2,1,5,10,100,10,30,20,6,4,2,1.7012626,20,0.853559352,0.972175759,5.204532287,10.20453229,51,1,0.0326184,1,2,30,20,6,30,EMUYEZ
55,2,3,1,51.299368,328041100,3,0,55,2,3,1,5,25,50,12.5,10,100,10,2.5,1,2.3768792,30,0.837249396,1.040977317,3.457569059,8.857569059,56,1,0.0334252,1,1,25,50,12.5,0,EMUYEZ
55,2,4,1,56.638146,328141785,4,1,55,2,4,1,5,20,50,10,10,100,10,0,2,1.6296392,30,0.842941306,0.64508574,5.219933249,8.619933249,33,0,0.0332035,1,1,20,50,10,0,EMUYEZ
55,2,5,1,60.842403,328202243,5,1,55,2,5,1,5,20,80,16,10,100,10,6,2,1.4337163,50,0.831934103,1.047155921,1.719680227,7.119680227,57,1,0.0303543,1,1,20,80,16,30,EMUYEZ
55,2,6,1,65.22997,328300481,6,1,55,2,6,1,5,10,100,10,15,80,12,-2,1,2.2544481,65,0.849062516,0.964119862,4.130790703,9.130790703,51,1,0.0385424,1,2,15,80,12,30,EMUYEZ
55,2,7,1,70.386148,328389002,7,0,55,2,7,1,5,10,100,10,15,20,3,7,2,1.8016811,75,0.997129741,1.187598339,3.523094118,9.523094118,65,1,0.0328854,1,2,15,20,3,30,EMUYEZ
55,2,8,1,75.440491,328488608,8,1,55,2,8,1,5,10,100,10,30,50,15,-5,1,1.8117096,75,0.925773069,0.773896071,4.772861768,8.772861768,40,0,0.0335052,1,2,30,50,15,0,EMUYEZ
55,2,9,1,80.0283,328558496,9,1,55,2,9,1,5,10,100,10,30,70,21,-11,1,1.4643947,105,0.977719308,0.706286166,2.727527964,6.327527964,36,1,0.0329312,1,2,30,70,21,20,EMUYEZ
55,2,10,1,84.248852,328646752,10,1,55,2,10,1,5,15,70,10.5,10,100,10,0.5,2,2.8526612,120,0.630622076,0.967769053,1.159583137,6.159583137,52,1,0.0434149,1,1,15,70,10.5,20,EMUYEZ
55,2,11,1,89.788207,328774457,11,1,55,2,11,1,5,10,100,10,30,40,12,-2,1,1.4716138,120,0.775010141,0.929496269,3.985556568,8.785556568,46,0,0.0384759,1,2,30,40,12,10,EMUYEZ
55,2,12,1,94.060789,328855822,12,1,55,2,12,1,5,10,100,10,25,90,22.5,-12.5,1,1.3916238,145,0.914004488,1.044838752,0.382893576,5.782893576,55,1,0.042125,1,2,25,90,22.5,40,EMUYEZ
55,2,13,1,98.515279,328953069,13,0,55,2,13,1,5,25,50,12.5,10,100,10,2.5,1,2.5284635,155,0.63253375,0.522980513,6.505930307,9.305930307,24,1,0.0318741,1,1,25,50,12.5,0,EMUYEZ
